username#discrim,current streak,max streak
AstroTR#6142,5,5
User Unavailable,4,25
ansere#6930,4,66
。。。#1215,3,4
User Unavailable,2,2
Moonas#7420,2,5
obsequiousLemur#7060,1,24
Cha#4618,1,9
User Unavailable,0,0
juwon_ro05#0606,0,1
SilverBreeze#4983,0,2
saum#2608,0,0
User Unavailable,0,0
Rohan12750#9671,0,0
Naddle#2836,0,2
The Awesome#8281,0,6
WhaleDemon#8901,0,1
Alpha Aquilae#6100,0,7
LeoLion989#2837,0,0
weed is 4 cats#0236,0,1
PM2017#7396,0,0
ùwú#5216,0,4
n3bu141#5564,0,8
person_v1.32#7883,0,3
User Unavailable,0,0
